Patient_ID,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50,True_Group
P001,11.496714153011233,10.861735698828817,11.647688538100692,12.523029856408025,10.765846625276664,10.76586304305082,12.579212815507391,11.767434729152908,10.530525614065049,11.542560043585965,10.536582307187537,10.534270246429744,11.241962271566035,9.086719755342202,9.275082167486968,10.437712470759028,9.987168879665576,11.314247332595274,10.091975924478788,9.587696298664708,9.465648768921554,7.774223699513464,8.067528204687925,6.575251813786544,7.455617275474817,8.110922589709865,6.849006422577697,8.375698018345672,7.399361310081195,7.708306250206723,7.398293387770603,9.852278184508938,7.986502775262066,6.942289071044099,8.822544912103188,6.779156350028978,8.208863595004756,6.040329876120224,6.671813951101569,8.196861235869124,8.73846657999541,8.17136828118997,7.88435171761176,7.698896304410711,6.521478009632572,7.280155791605291,7.539361229040212,9.057122226218915,8.343618289568461,6.236959844637266,0
P002,11.324083969394795,10.614917719583683,10.323077999694041,11.611676288840869,12.03099952249595,11.931280119116199,10.160782476777362,10.690787624148786,11.331263431403563,11.97554512712236,10.520825762154711,10.814341023336183,9.893665025993972,9.80379337591933,11.812525822394198,12.356240028570824,10.927989878419666,12.003532897892024,11.361636025047634,10.354880245394876,8.361395605508413,9.53803656646597,7.964173960890048,9.564643655814006,5.380254895910255,8.821902504375224,8.08704706823817,7.7009926495341325,8.091760776535502,6.012431085399108,7.780328112162488,8.357112571511747,9.477894044741516,7.481729781726353,7.191506397106813,7.498242956415464,8.915402117702074,8.328751109659684,7.470239796232962,8.513267433113356,8.09707754934804,8.968644990532889,7.297946906122648,7.672337853402232,7.607891846867842,6.536485051867881,8.296120277064576,8.26105527217989,8.00511345664246,7.765412866624853,0
P003,9.584629257949587,10.57935467723464,10.657285483473231,10.19772273077838,10.83871428833399,11.40405085681454,12.88618590121053,11.174577812831838,11.257550390722765,10.925554084233832,9.081228784700958,10.973486124550783,11.060230209941027,13.463242112485286,10.807639035218877,11.301547342333613,10.965288230294757,9.831321962380468,12.142822814515021,11.751933032686773,8.791031947043047,7.090612545205261,9.402794310936098,6.5981489372077196,8.58685709380027,10.190455625809978,7.009463674869312,7.433702270397228,8.099651365087642,7.496524345883801,6.449336568933868,8.068562974806028,6.937696286273895,8.47359243063518,7.080575765766197,9.54993440501754,7.216746707663763,7.677938483794325,8.81351721736967,6.769135683566045,8.227459934604129,9.307142754282427,6.3925167654387725,8.184633858532305,8.259882794248423,8.78182287177731,6.763049289121918,6.679543386915723,8.521941565616897,8.296984673233187,0
P004,11.250492850345877,11.346448209496975,10.31997527842151,11.232253697161003,11.29307247329868,10.285648581973632,12.865774511144757,11.473832920911788,9.808696502797352,11.65655360863383,10.025318329772679,11.787084603742452,12.158595579007404,10.179317681648289,11.963376129244322,11.412780926936499,11.82206015999449,12.896792982653947,10.754611883997129,10.24626383564251,7.110485570374477,7.184189715034561,7.922898290585896,8.341151974816643,8.27669079933002,8.827183249036024,8.013001891877908,9.453534077157316,7.735343166762044,10.720169166589619,8.625667347765006,7.142842443583717,6.929107501938888,8.482472415243185,7.776537214674149,8.714000494092092,8.473237624573544,7.927171087343127,7.153206281931595,6.485152775314136,7.553485047932979,8.856398794323471,8.214093744130205,6.7542612212880115,8.173180925851183,8.385317379728837,7.116142563798867,8.153725105945528,8.058208718446,6.857029702169377,0
P005,11.357787360348283,11.560784526368234,12.083051243175277,12.053802052034904,9.622330632042909,10.062174960084878,11.51503526720866,11.513785950912208,11.515047686306048,14.85273149065472,11.570890510693166,12.135565640180598,11.954001763493203,11.651391251305798,10.684730755359654,11.758969220493267,10.227174785462427,10.763181393259991,10.514636452170897,11.081874139386322,10.314658566673508,6.1327348074082515,8.686260190374513,6.387284128810348,7.528068134210566,9.088950596967367,8.064280019095463,6.922255222070694,7.284696290740031,8.679597748934675,7.2696333682828636,8.216458589581976,8.045571839903813,7.348399652394183,10.143944089325325,8.633919022318011,5.974857413342393,8.186454314769428,7.338213535231612,8.852433334796224,7.2074792615673,7.885263558533101,8.504987278980456,8.865755194170122,6.7997035929442236,7.665498764159052,7.5250546888390435,7.346670767426288,9.765454240281096,8.404981710960955,0
P006,9.739116045664954,11.917861947054776,13.122156197012632,12.032465260551147,9.480630034045987,10.51576592713375,12.266911149186623,10.292330534381218,11.443819428146229,11.774634053429336,10.073069528421918,10.940474643938199,7.758732659930928,9.97561235866571,10.74743184860684,9.752216818035151,12.632411303931635,9.569858622039368,10.559955513303017,11.130740577286092,9.441273289066116,6.564137848820561,9.16316375215496,8.010233061019587,7.018491348952049,8.462103474263271,8.199059695573471,7.399783122841205,8.06980208499002,7.61468640313824,8.113517345251248,8.662130674521046,9.586016816145353,6.7621845011731505,10.133033374656266,6.047912200477498,7.848214904964417,8.588317206484577,8.280991867735032,7.377300480179406,7.791877749642725,7.506999065341168,7.410635243055788,8.849602097021025,8.357015485965047,7.307090404739346,8.899599875433251,8.30729952087661,8.81286211883896,8.629628841923612,0
P007,10.171004989077929,10.43981895980303,11.747293605123263,11.610370265433465,10.979098406035853,11.117327383308782,12.277664895788424,10.408428611164169,11.547097381170039,10.797807347566106,10.78231879677278,12.09877685198719,11.82541634898803,11.813509636000639,12.30547880715433,11.021003841632758,11.681952971294963,10.689733243406543,11.324166352488442,10.869856945632314,8.096995964992718,8.595157025436913,7.181779316766527,10.09238727568546,6.993982618500298,6.785811387212268,9.158110873500068,8.791662693962936,8.624119817052154,8.62834550926428,7.987753227153085,7.102745628514168,8.075804558193726,7.322838288487889,8.97511973341775,7.8529426184978615,7.1745028032074885,7.678614158347006,8.412931454275624,7.436275447196025,7.177779604433568,8.243687211491912,8.244966571108723,7.49305682462887,7.528961694381677,8.232049937357637,6.551915658502676,6.592536225623444,7.281555778747564,7.786552848288153,0
P008,11.310907565598004,12.475356216949551,11.85765962320202,10.840061470036574,10.980983792097312,9.997470635362191,10.98148686400761,10.711341361079862,11.322718560338089,10.172769056447677,11.519346514241173,12.532738913002579,10.891239851543142,11.401711722098941,11.690143991711112,10.598779528114164,11.224092481810416,11.012592400781795,11.097676098548831,10.226990216144532,8.024510174258943,8.49799829124545,9.451143607795041,8.959270826085207,10.153182457511557,7.23265243711195,8.872320636720678,8.183342005738352,10.189802933217672,7.191701714644848,7.160278157819224,7.400607354555978,5.876104275690193,7.474244978319239,7.240867338446302,8.150393786476208,8.34175597577716,9.876170839215886,8.950423838186051,7.423096344337597,7.101585328651642,8.491919171506506,6.679766792979358,9.831458765854354,9.179440120721287,7.530824347895296,6.286865470909122,9.353872374165412,7.885460154747382,9.23781631197346,0
P009,9.405572341205634,10.400624977046228,11.005243699718184,11.046980593764742,10.549934528520756,11.6228499323475,9.932379570617407,10.857620514978706,11.1202956317119,11.51443883405875,11.71161487808889,9.87535790816213,9.465885829264378,12.27767682189851,11.33231401197959,10.251513463443446,12.551151975522522,11.115674634292859,12.179297184063827,11.06751848141011,10.060747924881987,9.755340842443204,7.751035851520927,8.971570950954355,8.645375949585148,9.368631557532348,7.0350765394198955,8.686051459998438,9.058424486849589,6.2412605135768855,6.816741487334225,5.9607678222399,7.730593165555442,8.717542255795962,9.502357052096029,8.074094780419776,9.628615545571291,6.619898541785108,6.296617560644846,7.944452301103381,8.384065448939307,7.967305251905907,5.932557899960123,7.910879960487212,6.695530499495147,8.669672548830038,8.366598246096848,7.060120213672644,7.486133082663306,6.940786478111049,0
P010,10.937320902726828,11.955142320501238,10.014273953664457,11.504046515517844,10.469742381627558,10.207127167737656,10.892969640045443,9.964757677580625,10.446350694652818,9.80212210741115,12.964725132916389,11.03526355197173,10.300274492007414,11.213979910734222,10.88767195030917,10.779030400466777,11.614166700043425,11.757507710047305,10.469498852389473,10.42418175935532,7.724948302848356,5.698078835264415,6.484808937801448,9.366874267444524,9.644967713501284,7.750963960443622,8.576556963055767,8.311250154543536,11.078880808455239,9.119574911434576,7.872082408519233,7.0444595593995745,6.3935536797424275,8.203463635867223,7.243649254715697,6.577746290402326,7.353427115757474,6.918451996385605,9.687141635072564,8.88163975694945,7.992027358683383,9.479944138890026,8.077368307647617,7.138715798671736,9.523124077269657,8.538910043684659,6.962753845673544,7.8096613219163915,7.124381746615243,6.6172002690356635,0
